time_stamp,event,user_name,ip_address,access,server,nb_queued_requests_on_server,error
2024-10-24 16:43:12.454907,rejected,unknown,192.168.0.14,Denied,None,-1,Authentication failed
2024-10-24 16:43:12.461891,rejected,unknown,192.168.0.14,Denied,None,-1,Authentication failed
2024-10-24 16:43:12.465392,rejected,unknown,192.168.0.14,Denied,None,-1,Authentication failed
2024-10-24 16:43:14.188084,rejected,unknown,192.168.0.14,Denied,None,-1,Authentication failed
2024-10-24 16:43:14.208264,rejected,unknown,192.168.0.14,Denied,None,-1,Authentication failed
2024-10-24 16:43:14.211011,rejected,unknown,192.168.0.14,Denied,None,-1,Authentication failed
2024-10-24 16:43:14.229326,rejected,unknown,192.168.0.14,Denied,None,-1,Authentication failed
2024-10-24 16:44:35.055207,gen_request,unknown,192.168.0.14,Authorized,SecondaryServer,1,
2024-10-24 16:44:37.182325,gen_done,unknown,192.168.0.14,Authorized,SecondaryServer,0,
2024-10-24 16:44:44.875946,gen_request,unknown,192.168.0.14,Authorized,SecondaryServer,1,
2024-10-24 16:44:46.914760,gen_done,unknown,192.168.0.14,Authorized,SecondaryServer,0,
2024-10-24 16:44:48.047745,gen_request,unknown,192.168.0.14,Authorized,SecondaryServer,1,
2024-10-24 16:44:50.059372,gen_done,unknown,192.168.0.14,Authorized,SecondaryServer,0,
2024-10-24 16:44:51.177762,gen_request,unknown,192.168.0.14,Authorized,SecondaryServer,1,
2024-10-24 16:44:53.268273,gen_done,unknown,192.168.0.14,Authorized,SecondaryServer,0,
2024-10-24 16:58:36.653862,gen_request,unknown,192.168.0.14,Authorized,ThirdServer,1,
2024-10-24 16:58:48.168276,gen_done,unknown,192.168.0.14,Authorized,ThirdServer,0,
2024-10-24 16:58:52.177006,gen_request,unknown,192.168.0.14,Authorized,ThirdServer,1,
2024-10-24 16:59:22.543477,gen_done,unknown,192.168.0.14,Authorized,ThirdServer,0,
2024-10-24 17:00:07.426406,gen_request,unknown,192.168.0.14,Authorized,SecondaryServer,1,
2024-10-24 17:00:17.341875,gen_done,unknown,192.168.0.14,Authorized,SecondaryServer,0,
